Average thermal transmittance 0.13 W/m²K,0.13
"Solid, insulated (assumed)",0.15
"Suspended, no insulation (assumed)",1
"Solid, no insulation (assumed)",1
Average thermal transmittance 0.14 W/m²K,0.14
Average thermal transmittance 0.15 W/m²K,0.15
Average thermal transmittance 0.16 W/m²K,0.16
(another dwelling below),0
Average thermal transmittance 0.17 W/m²K,0.17
Average thermal transmittance 0.12 W/m²K,0.12
"Solid, limited insulation (assumed)",0.15
Average thermal transmittance 0.20 W/m²K,0.2
(other premises below),0
"Suspended, insulated (assumed)",0.2
"Suspended, limited insulation (assumed)",0.3
Average thermal transmittance 0.18 W/m²K,0.18
Average thermal transmittance 0.23 W/m²K,0.23
Average thermal transmittance 0.21 W/m²K,0.21
Average thermal transmittance 0.19 W/m²K,0.19
Average thermal transmittance 0.22 W/m²K,0.22
"Suspended, insulated",0.2
"To unheated space, no insulation (assumed)",0.35
Average thermal transmittance 0.09 W/m²K,0.09
Average thermal transmittance 0.10 W/m²K,0.1
Average thermal transmittance 0.60 W/m²K,0.6
Average thermal transmittance 1.20 W/m²K,1.2
Average thermal transmittance 0.11 W/m²K,0.11
"Solid, insulated",0.1
"To unheated space, limited insulation (assumed)",0.3
Average thermal transmittance 0.13 W/m²K,0.13
Average thermal transmittance 0.28 W/m²K,0.28
"To unheated space, insulated",1
Average thermal transmittance 0.50 W/m²K,0.5
Average thermal transmittance 0.33 W/m²K,0.33
Average thermal transmittance 0.54 W/m²K,0.54
Average thermal transmittance 0.52 W/m²K,0.52
Average thermal transmittance 0.42 W/m²K,0.42
Average thermal transmittance 0.34 W/m²K,0.34
