CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,PROPERTY_TYPE,BUILT_FORM,ENVIRONMENT_IMPACT_CURRENT,ENVIRONMENT_IMPACT_POTENTIAL,ENERGY_CONSUMPTION_CURRENT,ENERGY_CONSUMPTION_POTENTIAL,CO2_EMISSIONS_CURRENT,CO2_EMISS_CURR_PER_FLOOR_AREA,CO2_EMISSIONS_POTENTIAL,LIGHTING_COST_CURRENT,LIGHTING_COST_POTENTIAL,HEATING_COST_CURRENT,HEATING_COST_POTENTIAL,HOT_WATER_COST_CURRENT,HOT_WATER_COST_POTENTIAL,TOTAL_FLOOR_AREA,ENERGY_TARIFF,MAINS_GAS_FLAG,FLOOR_LEVEL,FLAT_TOP_STOREY,FLAT_STOREY_COUNT,MAIN_HEATING_CONTROLS,MULTI_GLAZE_PROPORTION,GLAZED_TYPE,GLAZED_AREA,EXTENSION_COUNT,NUMBER_HABITABLE_ROOMS,NUMBER_HEATED_ROOMS,LOW_ENERGY_LIGHTING,NUMBER_OPEN_FIREPLACES,HOTWATER_DESCRIPTION,HOT_WATER_ENERGY_EFF,HOT_WATER_ENV_EFF,FLOOR_DESCRIPTION,FLOOR_ENERGY_EFF,FLOOR_ENV_EFF,WINDOWS_DESCRIPTION,WINDOWS_ENERGY_EFF,WINDOWS_ENV_EFF,WALLS_DESCRIPTION,WALLS_ENERGY_EFF,WALLS_ENV_EFF,SECONDHEAT_DESCRIPTION,SHEATING_ENERGY_EFF,SHEATING_ENV_EFF,ROOF_DESCRIPTION,ROOF_ENERGY_EFF,ROOF_ENV_EFF,MAINHEAT_DESCRIPTION,MAINHEAT_ENERGY_EFF,MAINHEAT_ENV_EFF,MAINHEATCONT_DESCRIPTION,MAINHEATC_ENERGY_EFF,MAINHEATC_ENV_EFF,LIGHTING_DESCRIPTION,LIGHTING_ENERGY_EFF,LIGHTING_ENV_EFF,MAIN_FUEL,WIND_TURBINE_COUNT,HEAT_LOSS_CORRIDOOR,UNHEATED_CORRIDOR_LENGTH,FLOOR_HEIGHT,PHOTO_SUPPLY,SOLAR_WATER_HEATING_FLAG,MECHANICAL_VENTILATION,CONSTRUCTION_AGE_BAND,FIXED_LIGHTING_OUTLETS_COUNT,LOW_ENERGY_FIXED_LIGHT_COUNT
69,70,House,Semi-Detached,70,71,181,171,3,34,2.8,93,47,507,515,87,87,63.6,Single,Y,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,4,3,0,0,From main system,Good,Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,"Room heaters, electric",N/A,N/A,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,No low energy lighting,Very Poor,Very Poor,mains gas (not community),0,NO DATA!,,2.37,0,,natural,England and Wales: 1950-1966,9,0
83,84,Flat,Detached,79,79,188,182,1.7,28.3,1.6,53,33,94,97,116,116,58.3,dual,N,2nd,N,16,2401,100,double glazing installed during or after 2002,Normal,0,3,3,40,0,"Electric immersion, off-peak",Average,Poor,(other premises below),N/A,N/A,Fully double glazed,Good,Good,"System built, with external insulation",Very Good,Very Good,"Room heaters, electric",N/A,N/A,(another dwelling above),N/A,N/A,Electric storage heaters,Poor,Very Poor,Manual charge control,Poor,Poor,Low energy lighting in 40% of fixed outlets,Average,Average,electricity - this is for backwards compatibility only and should not be used,0,unheated corridor,1,2.2,0,N,natural,England and Wales: 2007 onwards,,
71,75,Flat,Mid-Terrace,74,78,217,187,1.8,38,1.6,65,36,350,319,84,84,47,Single,Y,1st,Y,,2106,100,double glazing installed before 2002,Normal,0,2,2,17,0,From main system,Good,Good,(another dwelling below),NO DATA!,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,"Room heaters, electric",N/A,N/A,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 17% of fixed outlets,Poor,Poor,mains gas (not community),0,no corridor,,2.33,,N,natural,England and Wales: 1976-1982,,
47,48,House,Semi-Detached,41,41,377,374,8.5,63,8.5,98,72,1327,1334,124,124,112.92,Single,Y,NO DATA!,,,2106,30,double glazing installed before 2002,Normal,1,6,6,64,1,From main system,Very Good,Very Good,"Suspended, no insulation (assumed)",N/A,N/A,Some double glazing,Poor,Poor,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Room heaters, mains gas",N/A,N/A,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 64% of fixed outlets,Good,Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.89,0,N,natural,England and Wales: before 1900,,
83,84,Flat,Detached,78,79,220,214,1.4,33.2,1.4,39,25,86,88,102,102,43.1,dual,N,11th,N,16,2401,100,double glazing installed during or after 2002,Normal,0,2,2,40,0,"Electric immersion, off-peak",Average,Poor,(other premises below),N/A,N/A,Fully double glazed,Good,Good,"System built, with external insulation",Very Good,Very Good,"Room heaters, electric",N/A,N/A,(another dwelling above),N/A,N/A,Electric storage heaters,Poor,Very Poor,Manual charge control,Poor,Poor,Low energy lighting in 40% of fixed outlets,Average,Average,electricity - this is for backwards compatibility only and should not be used,0,unheated corridor,7.2,2.3,0,N,natural,England and Wales: 2007 onwards,,
84,84,Flat,Detached,83,83,145,145,1.2,24,1.2,28,28,223,223,76,76,50.26,Single,Y,1st,Y,2,2106,100,double glazing installed during or after 2002,Normal,0,2,2,100,0,From main system,Very Good,Very Good,(other premises below),N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,"Room heaters, mains gas",N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,0,no corridor,,2.31,0,N,natural,England and Wales: 1983-1990,,
71,83,House,Mid-Terrace,68,80,201,121,3.1,35,1.9,96,58,538,544,116,78,88,Single,Y,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,4,4,33,0,From main system,Good,Good,"Suspended, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,None,N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 33% of fixed outlets,Average,Average,mains gas (not community),0,NO DATA!,,2.4,,N,natural,England and Wales: 1930-1949,,
75,75,Flat,Detached,82,82,149,149,1.5,22,1.5,41,41,134,134,264,264,68.56,Single,Y,1st,N,4,2206,100,double glazing installed during or after 2002,Normal,0,3,3,100,0,"From main system, no cylinder thermostat",Very Poor,Average,(other premises below),N/A,N/A,Fully double glazed,Good,Good,"Timber frame, as built, insulated (assumed)",Good,Good,None,N/A,N/A,(another dwelling above),N/A,N/A,"Air source heat pump, radiators, electric",Poor,Very Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,electricity - this is for backwards compatibility only and should not be used,0,unheated corridor,10,2.37,0,N,natural,England and Wales: 2007 onwards,,
69,81,House,End-Terrace,68,79,214,135,3.2,38,2.1,80,57,613,617,116,77,86,Single,Y,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,5,5,60,0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,"Room heaters, electric",N/A,N/A,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 60% of fixed outlets,Good,Good,mains gas (not community),0,NO DATA!,,2.4,,N,natural,England and Wales: 1976-1982,,
84,85,Flat,Detached,82,83,201,192,1,33,1,29,16,157,159,98,98,30.33,Single,Y,1st,Y,2,2302,100,double glazing installed during or after 2002,Normal,0,1,1,20,0,From main system,Good,Good,(other premises below),N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,None,N/A,N/A,"Pitched, 300+  mm loft insulation",Very Good,Very Good,Community scheme,Good,Good,"Flat rate charging, programmer no room thermostat",Very Poor,Very Poor,Low energy lighting in 20% of fixed outlets,Poor,Poor,mains gas - this is for backwards compatibility only and should not be used,0,heated corridor,,2.44,0,N,natural,England and Wales: 1976-1982,,
76,83,Flat,End-Terrace,73,82,234,158,1.9,39,1.3,48,28,278,213,137,111,49,Single,Y,2nd,N,4,2106,100,double glazing installed before 2002,Normal,0,2,2,25,0,From main system,Good,Good,(other premises below),N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, partial insulation (assumed)",Average,Average,None,N/A,N/A,(another dwelling above),N/A,N/A,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 25% of fixed outlets,Average,Average,mains gas - this is for backwards compatibility only and should not be used,0,no corridor,,2.4,0,N,natural,England and Wales: 1976-1982,,
71,75,Flat,Detached,63,64,392,381,2.3,59,2.2,22,22,229,196,116,102,38.71,dual,N,1st,Y,2,2401,100,double glazing installed during or after 2002,Normal,0,2,2,100,0,"Electric immersion, off-peak",Poor,Poor,(other premises below),N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,"Room heaters, electric",N/A,N/A,"Pitched, 200mm loft insulation",Good,Good,Electric storage heaters,Poor,Very Poor,Manual charge control,Poor,Poor,Low energy lighting in all fixed outlets,Very Good,Very Good,electricity - this is for backwards compatibility only and should not be used,0,unheated corridor,6.9,2.36,0,N,natural,England and Wales: 1967-1975,,
68,82,Flat,Semi-Detached,71,71,191,193,2.9,32,2.9,64,71,456,253,333,159,89,Single,N,3rd,Y,,2603,100,double glazing installed during or after 2002,Normal,0,3,3,100,0,"Electric immersion, standard tariff",Very Poor,Poor,(another dwelling below),NO DATA!,N/A,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Very Good,Very Good,"Room heaters, electric",N/A,N/A,"Pitched, insulated (assumed)",Good,Good,"Room heaters, electric",Very Poor,Poor,Programmer and appliance thermostats,Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,electricity (not community),0,unheated corridor,9.98,2.34,,N,natural,England and Wales: 2007 onwards,,
