postcode,latitude,longitude
AB10 1XG,57.14416516,-2.114847768
AB10 6RN,57.13787976,-2.121486688
AB10 7JB,57.12427377,-2.127189644
AB11 5QN,57.14270109,-2.093295
AB11 6UL,57.13754663,-2.112233
AB11 8RQ,57.13597762,-2.072114784
AB12 3FJ,57.0980029,-2.077438
AB12 4NA,57.06427275,-2.130018015
AB12 5GL,57.08193792,-2.246567389
AB12 9SP,57.14870708,-2.097806027
AB14 0TQ,57.10155692,-2.268485752
AB15 5HB,57.147428,-2.1472662
AB15 6NA,57.151797,-2.185398
AB15 8UF,57.15400596,-2.22440188
AB15 9SE,57.11864762,-2.174250607
AB16 5ST,57.16346588,-2.15933343
AB16 6SZ,57.15875117,-2.165214861
AB16 7NX,57.1684384,-2.161636
AB21 0AL,57.26342,-2.158605
AB21 0TF,57.221883,-2.273318
AB21 0TG,57.19169523,-2.287688298
AB21 0TH,57.19400333,-2.27997868
AB21 0TJ,57.2019023,-2.278664796
AB21 0TL,57.197769,-2.278898
AB21 0TN,57.18741832,-2.276140172
AB21 0TP,57.18699492,-2.288644382
AB21 0TQ,57.182373,-2.294581507
AB21 0TR,57.178136,-2.300716
AB21 0TS,57.1846082,-2.303068
AB21 0TT,57.19090046,-2.257899
AB21 0TU,57.196678,-2.242318
AB21 0TW,57.20754433,-2.286321875
AB21 0TX,57.19791491,-2.2657596
AB21 0TY,57.19961469,-2.264811934
AB21 0TZ,57.18946005,-2.274964162
AB21 0UA,57.26378399,-2.187685168
AB21 0UB,57.21548974,-2.195006101
AB21 0UD,57.27307547,-2.185527002
AB21 0UE,57.2632708,-2.155969
AB21 0UF,57.2670021,-2.173641764
AB21 0UG,57.24394718,-2.184154
AB21 0UL,57.271847,-2.170829
AB21 0UN,57.28477643,-2.155130503
AB21 0UP,57.28412848,-2.169923947
AB21 0UQ,57.2662304,-2.179440986
AB21 0UR,57.261788,-2.182536
AB21 0US,57.25040342,-2.17885021
AB21 0UT,57.23788008,-2.179684101
AB21 0UU,57.26319941,-2.188146382
AB21 0UW,57.2630805,-2.183520461
AB21 0UX,57.31018894,-2.258685064
AB21 0UY,57.26416285,-2.186626062
AB21 0UZ,57.2632368,-2.187168456
AB21 0WA,57.20619042,-2.289141902
AB21 0WB,57.2649617,-2.187044583
AB21 0WF,57.264052,-2.182315
AB21 0WG,57.26563892,-2.184677176
AB21 0WH,57.20285428,-2.286732425
AB21 0WJ,57.26704519,-2.193322387
AB21 0WL,57.26606643,-2.193085139
AB21 0WN,57.26636987,-2.194048
AB21 0WP,57.26665102,-2.192623968
AB21 0WQ,57.26777407,-2.192497195
AB21 0WW,57.26694751,-2.186640165
AB21 0WZ,57.27040715,-2.191781366
AB21 0XA,57.20344411,-2.284121864
AB21 0XB,57.20408923,-2.284855102
AB21 0XD,57.20339966,-2.287862156
AB21 0XF,57.26262988,-2.184529474
AB21 0XG,57.26350079,-2.184815667
AB21 0XN,57.20236625,-2.2836
AB21 0XP,57.20167577,-2.283545546
AB21 0XQ,57.20749692,-2.287414027
AB21 0XR,57.20803691,-2.286971281
AB21 0XS,57.20759747,-2.286653354
AB21 0XT,57.20713613,-2.288056794
AB21 0XU,57.20690977,-2.288833023
AB21 0XW,57.20592318,-2.288163207
AB21 0XX,57.20522416,-2.287446008
AB21 0XY,57.23748289,-2.262399767
AB21 0XZ,57.26329729,-2.182692626
AB21 0YA,57.23766981,-2.267470542
AB21 0YB,57.23689375,-2.264897115
AB21 0YD,57.240101,-2.277313
AB21 0YE,57.23582968,-2.2668277
AB21 0YF,57.23726236,-2.264750661
AB21 0YG,57.23768231,-2.26581395
AB21 0YL,57.238205,-2.285599
AB21 0YN,57.20232456,-2.286612458
AB21 0YP,57.20239098,-2.285057176
AB21 0YQ,57.248493,-2.263539
AB21 0YR,57.2543685,-2.267028
AB21 0YS,57.258119,-2.282123
AB21 0YT,57.26366187,-2.273710214
AB21 0YX,57.2746572,-2.277672388
AB21 0ZR,57.20511732,-2.294777824
AB21 0ZS,57.204815,-2.2931521
AB21 0ZT,57.20425179,-2.292073
AB21 7AA,57.20958,-2.188584334
AB21 7AB,57.21153045,-2.187684408
AB21 7AD,57.20968008,-2.187608788
AB21 7AE,57.211316,-2.186806
AB21 7AF,57.212604,-2.190223
AB21 7AG,57.21200391,-2.189441674
AB21 7AH,57.215315,-2.185419
AB21 7AJ,57.21971108,-2.183520076
AB21 7AL,57.22016593,-2.173189563
AB21 7AN,57.20842543,-2.166413709
AB21 7AP,57.20679632,-2.15488552
AB21 7AQ,57.21578241,-2.144724135
AB21 7AR,57.20735097,-2.133451472
AB21 7AS,57.23214286,-2.142485884
AB21 7AT,57.22258065,-2.153809121
AB21 7AU,57.20503389,-2.188942467
AB21 7AX,57.205005,-2.189803
AB21 7AY,57.20513924,-2.190747
AB21 7AZ,57.19985591,-2.185473619
AB21 7BA,57.205965,-2.190666661
AB21 7BB,57.20624257,-2.185621556
AB21 7BD,57.20585564,-2.185752
AB21 7BE,57.20683064,-2.188835787
AB21 7BG,57.20674757,-2.190308574
AB21 7BH,57.20655364,-2.187857754
AB21 7BJ,57.20678431,-2.189779068
AB21 7BL,57.20743493,-2.18721666
AB21 7BN,57.20678078,-2.186137402
AB21 7BP,57.20749998,-2.185760302
AB21 7BQ,57.20785747,-2.186987053
AB21 7BR,57.20866588,-2.187024254
AB21 7BS,57.20818533,-2.183959409
AB21 7BT,57.20791575,-2.18402428
AB21 7BU,57.20765525,-2.184022983
AB21 7BW,57.2117153,-2.190433
AB21 7BX,57.20728872,-2.182812775
AB21 7BY,57.20685533,-2.184316951
AB21 7DA,57.20962857,-2.186002767
AB21 7DB,57.21061874,-2.184617162
AB21 7DD,57.21160615,-2.185102197
AB21 7DE,57.21130918,-2.185464918
AB21 7DG,57.2093943,-2.180340081
AB21 7DH,57.21076878,-2.186422378
AB21 7DJ,57.21009485,-2.186567966
AB21 7DL,57.20859099,-2.189043433
AB21 7DN,57.20816096,-2.188279768
AB21 7DQ,57.2063245,-2.19088574
AB21 7DR,57.20441734,-2.192696593
AB21 7DS,57.20402005,-2.194018657
AB21 7DT,57.20272024,-2.192257411
AB21 7DU,57.2004928,-2.203433712
AB21 7DW,57.20090007,-2.190046748
AB21 7DX,57.20268031,-2.188980083
AB21 7DY,57.20241186,-2.188283569
AB21 7DZ,57.19605657,-2.178984224
AB21 7EA,57.197985,-2.176434
AB21 7EB,57.20237727,-2.18738964
AB21 7ED,57.20277797,-2.189741936
AB21 7EE,57.203588,-2.18850533
AB21 7EG,57.20513332,-2.194421757
AB21 7EH,57.20392158,-2.187894023
AB21 7EJ,57.2039536,-2.1904928
AB21 7EL,57.20441554,-2.187962743
AB21 7EN,57.20371641,-2.186932989
AB21 7EP,57.20535929,-2.187603395
AB21 7EQ,57.2123163,-2.190767711
AB21 7ER,57.21106901,-2.18988386
AB21 7ES,57.20983926,-2.189281582
AB21 7ET,57.21036912,-2.189367071
AB21 7EW,57.20520868,-2.186195689
AB21 7EX,57.21236412,-2.188847526
AB21 7EY,57.213773,-2.189798
AB21 7EZ,57.19799527,-2.186391
AB21 7FA,57.20434791,-2.18511548
AB21 7FB,57.20505639,-2.185913535
AB21 7FD,57.20515871,-2.18353053
AB21 7FE,57.20375475,-2.185311127
AB21 7FF,57.20313598,-2.184596316
AB21 7FG,57.20264251,-2.184196624
AB21 7FH,57.20367815,-2.18241422
AB21 7FJ,57.20346477,-2.180890432
AB21 7FL,57.20030329,-2.186667468
AB21 7FN,57.20114817,-2.186340729
AB21 7FP,57.20101304,-2.180464668
AB21 7FQ,57.20142091,-2.184140882
AB21 7FR,57.20190888,-2.182157222
AB21 7FS,57.20211066,-2.179278369
AB21 7FT,57.2029472,-2.17848797
AB21 7FU,57.20300358,-2.17673381
AB21 7FW,57.20217848,-2.175786462
AB21 7FX,57.20231106,-2.183566036
AB21 7FY,57.20128945,-2.18188936
AB21 7FZ,57.20260135,-2.175308494
AB21 7GA,57.1969444,-2.186170592
AB21 7GB,57.195444,-2.18608
AB21 7GD,57.19756962,-2.188573321
AB21 7GF,57.192815,-2.184247
AB21 7GH,57.213452,-2.187892117
AB21 7GJ,57.21249968,-2.188301888
AB21 7GL,57.20591075,-2.191231205
AB21 7GN,57.19618688,-2.18206282
AB21 7GQ,57.19872351,-2.191806332
AB21 7HF,57.21105203,-2.183179056
AB21 7HG,57.198686,-2.180387
AB21 7JJ,57.20868757,-2.178300513
AB21 7JL,57.20898166,-2.179940771
AB21 7JN,57.20742841,-2.179386947
AB21 7JP,57.20765915,-2.181341362
AB21 7JQ,57.20742524,-2.181588512
AB21 7JR,57.2071466,-2.181703013
AB21 7JS,57.2069129,-2.181801182
AB21 7JT,57.20664327,-2.181899172
AB21 7JU,57.2077684,-2.180332142
AB21 7JW,57.20824369,-2.180897284
AB21 7JX,57.20819956,-2.1803508
AB21 7JY,57.20800487,-2.178297217
AB21 7JZ,57.20859673,-2.179011886
AB21 7LA,57.21099292,-2.180579655
AB21 7LB,57.21015159,-2.178440017
AB21 7LD,57.21213578,-2.185602
AB21 7LE,57.21176269,-2.182487264
AB21 7LF,57.20342973,-2.173905553
AB21 7LG,57.2109551,-2.1818873
AB21 7LH,57.21026483,-2.180907185
AB21 7LJ,57.21035313,-2.181967108
AB21 7LL,57.21245975,-2.184957476
AB21 7LN,57.21032413,-2.1833741
AB21 7LP,57.20990264,-2.182891931
AB21 7LQ,57.209272,-2.183832
AB21 7LR,57.20890384,-2.184045758
AB21 7LS,57.20880379,-2.184889505
AB21 7LT,57.20906884,-2.181778686
AB21 7LU,57.20888863,-2.182158539
AB21 7LW,57.20477389,-2.176262271
AB21 7LX,57.21008563,-2.180591773
AB21 7LY,57.21018632,-2.179284462
AB21 7LZ,57.20943173,-2.179297353
AB21 7NA,57.20944281,-2.177824089
AB21 7NB,57.20886052,-2.176695622
AB21 7ND,57.20869801,-2.177274228
AB21 7NE,57.20905905,-2.176050968
AB21 7NF,57.20572651,-2.17595232
