IS_ENCLOSED,AGE_INDEX,EXTENSION_COUNT,FROM_MAIN_SYSTEM,HAS_TANK,FLAT_TOP_STOREY,FLOOR_U_VALUE,HOT_WATER_ENERGY_EFF,INTERNAL_GAINS,IS_DETACHED,IS_END,IS_MID,LOW_ENERGY_LIGHTING,MAIN_FUEL,MAINS_GAS_FLAG,MAIN_HEATING_CONTROLS,MAINHEAT_ENERGY_EFF,MECHANICAL_EXTRACT,PHOTO_SUPPLY,ROOF_ENERGY_EFF,ROOF_U_VALUE,SECONDHEAT_DESCRIPTION,TEMP_ADJUSTMENT,TOTAL_FLOOR_AREA,WALLS_ENERGY_EFF,WALL_THICKNESS,WALL_U_VALUE,WET_ROOMS,WAR,CURRENT_ENERGY_EFFICIENCY
0,3,0.0,1,1,0,2.3,3,37.27999536151215,1,0,0,33,0.216,1,0,3,0,0,-1,0,-1,0,61,3,250,0.7,2,0.8255393442622951,74
0,1,0.013888888888888888,1,1,0,2.3,3,36.17252165155802,0,0,1,63,0.216,1,1,3,0,0,0,2.3,-1,0,72,0,220,1.7,2,0.782513888888889,54
0,3,0.0,1,1,0,2.3,3,30.632974268294607,1,0,0,69,0.216,1,0,3,0,0,0,2.3,0.216,0,116,1,250,1.5,3,0.8230568965517242,49
0,0,0.015384615384615385,1,1,0,2.3,3,28.932332032456042,0,1,0,85,0.216,1,3,3,0,0,0,2.3,-1,0.6,130,0,220,1.7,4,0.8251153846153846,44
1,4,0.0,1,1,0,1.5,2,34.08795090491771,0,0,1,100,0.216,1,4,3,0,0,3,1.5,-1,0,89.42,3,250,0.7,3,0.7941049205994185,70
0,5,0.0,1,1,0,0.68,2,37.44386961327291,0,0,1,63,0.216,1,4,3,0,0,3,0.68,-1,0,59,3,260,0.4,2,0.7812406779661016,68
0,6,0.0,1,1,0,0.4,3,33.27886510136948,0,1,0,33,0.216,1,5,3,0,0,1,0.4,0.216,0,96,2,270,0.6,3,0.8097958333333334,63
0,8,0.0,0,0,0,0.22,3,38.54547436058921,0,0,1,100,0.216,1,6,3,0,0,-1,0,-1,0.3,48,1,300,0.45,1,0.8770333333333333,80
0,7,0.0,0,1,0,0.35,2,38.67177694477306,0,0,1,100,0.519,0,7,2,0,0,3,0.35,-1,0.7,47,3,270,0.6,1,0.7661787234042553,62
0,3,0.0,1,1,0,2.3,3,38.471767290547064,1,0,0,43,0.216,1,0,3,0,0,-1,0,-1,0,49,3,250,0.7,2,0.7911653061224491,69
0,1,0.0,1,1,0,2.3,3,35.30151451199596,0,0,1,50,0.216,1,0,3,1,0,3,2.3,-1,0,79.88,0,220,1.7,2,0.7919334001001502,59
0,1,0.01818181818181818,1,1,0,2.3,2,31.40052012829543,0,0,1,75,0.216,1,0,3,0,0,0,2.3,-1,0,110,1,220,1.7,3,0.8155,45
0,0,0.0,1,1,0,2.3,3,34.580121419867716,0,0,1,20,0.216,1,3,3,0,0,0,2.3,-1,0.6,86,0,250,1.5,2,0.7980581395348838,46
0,7,0.0,1,1,0,0.35,3,36.2014414487177,0,1,0,25,0.216,1,5,3,0,0,3,0.35,-1,0,72,3,270,0.35,2,0.81445,66
0,3,0.0,1,1,0,2.3,2,35.263395325296514,0,1,0,82,0.216,1,4,3,0,0,3,2.3,0.216,0,80,3,250,0.7,3,0.8016625000000001,66
0,2,0.0,1,1,0,2.3,3,34.92816586873873,0,1,0,50,0.216,1,0,3,0,0,4,2.3,0.216,0,83,3,250,0.7,3,0.7951686746987952,72
0,0,0.01,1,1,0,2.3,3,32.765527392807364,0,0,1,10,0.216,1,2,3,0,0,1,2.3,0.216,0.6,100,3,220,0.32,2,0.80925,64
0,1,0.0,1,1,0,2.3,3,35.36660859623334,0,1,0,100,0.216,1,0,3,0,0,4,2.3,0.216,0,79,3,250,0.7,3,0.7909746835443038,70
0,0,0.019230769230769232,0,1,0,2.3,2,38.14043006778307,0,0,1,43,0.519,0,8,2,0,0,3,2.3,-1,0.4,52,0,220,1.7,2,0.7457884615384616,60
0,1,0.017045454545454544,1,1,0,2.3,3,24.68854973998151,0,0,1,37,0.216,1,0,3,0,0,3,2.3,-1,0,176,0,220,1.7,4,0.8389375,70
0,2,0.0,1,1,0,2.3,2,34.3351982033381,0,0,1,10,0.216,1,4,3,0,0,3,2.3,-1,0,88,0,250,2,3,0.78034375,61
0,2,0.011363636363636364,1,1,0,2.3,3,34.31803794147376,0,1,0,33,0.216,1,0,3,0,0,3,2.3,-1,0,88,3,250,0.7,3,0.799875,68
0,6,0.0,1,1,1,0.22,3,36.87464475349756,0,0,1,67,0.216,1,4,3,0,0,3,0.4,-1,0,65,3,270,0.6,2,0.8789384615384616,75
0,1,0.0273972602739726,1,1,0,2.3,3,36.09486705735912,0,0,1,25,0.216,1,9,3,0,0,3,2.3,-1,0,73,0,220,1.7,2,0.7838219178082192,63
0,2,0.011235955056179775,1,1,0,2.3,3,24.524491832302033,1,0,0,69,0.216,1,4,3,0,0,1,2.3,0.216,0,178,0,220,1.7,4,0.839376404494382,51
0,3,0.0,1,1,0,2.3,3,43.82072936227565,0,0,0,100,0.216,1,0,3,1,0,-1,0,-1,0,28.66,3,250,0.7,2,0.6671561060711794,59
0,5,0.0,1,1,1,0.22,3,39.225611234123114,0,0,0,100,0.216,1,1,3,0,0,3,0.68,-1,0,43.2,2,260,1,1,0.8343824074074074,71
0,2,0.0,1,1,0,2.3,3,36.10121518927899,0,0,1,100,0.216,1,0,3,0,0,3,2.3,-1,0,72.4,3,250,0.7,3,0.7830414364640884,71
0,9,0.0,1,1,0,0.2,3,36.7516603560078,0,1,0,100,0.216,1,0,3,0,0,-1,0,-1,0,66,3,300,0.35,2,0.8792606060606061,80
0,1,0.016260162601626018,1,1,0,2.3,3,29.806546819465826,0,0,1,6,0.216,1,0,3,0,1,0,2.3,-1,0,123,1,220,1.7,3,0.8221056910569106,70
0,3,0.011764705882352941,1,1,0,2.3,2,34.703085614371425,0,1,0,22,0.216,1,4,3,0,0,3,2.3,0.216,0,85,1,250,1.5,3,0.8057176470588235,49
