AGE_INDEX,ENERGY_TARIFF,EXTENSION_COUNT,FROM_MAIN_SYSTEM,HW_GAS,HAS_TANK,FLAT_TOP_STOREY,FLOOR_U_VALUE,HOT_WATER_ENERGY_EFF,INTERNAL_LIGHTING,INTERNAL_GAINS,IS_DETACHED,IS_END,IS_MID,LOW_ENERGY_LIGHTING,MAIN_FUEL,MAINS_GAS_FLAG,MAIN_HEATING_CONTROLS,MAINHEAT_ENERGY_EFF,MECHANICAL_EXTRACT,MECHANICAL_SUPPLY,NUMBER_HEATED_ROOMS,NUMBER_OPEN_FIREPLACES,PHOTO_SUPPLY,ROOF_ENERGY_EFF,ROOF_U_VALUE,SECONDHEAT_DESCRIPTION,TEMP_ADJUSTMENT,TOTAL_FLOOR_AREA,WALLS_ENERGY_EFF,WALL_THICKNESS,WALL_U_VALUE,WET_ROOMS,WINDOW_AREA,CURRENT_ENERGY_EFFICIENCY
3,0,0.00843668269636379,1,0,1,0,2.3,3,0.6353675383402964,30.360502031571603,1,0,0,0,0.216,1,0,3,0,0,5,0,0,3,2.3,0.216,0,118.53,3,250,0.7,3,20.852781999999998,70
4,0,0.02155636990730761,1,0,1,0,1.5,2,1.3692909210359556,38.752259081855215,0,1,0,100,0.216,1,1,3,0,0,3,0,0,4,1.5,-1,0,46.39,3,250,0.7,2,13.079721,63
4,0,0.014193456816407636,1,0,1,0,1.5,3,0.9716474919941953,36.351503258631844,0,0,1,40,0.216,1,0,3,0,0,5,0,0,2,1.5,0.216,0,70.455,1,250,1.5,3,16.0613745,74
1,0,0.011617775196049956,1,0,1,0,2.3,3,0.40187232789735217,24.94416882397911,1,0,0,100,0.216,1,0,3,0,0,9,1,0,0,2.3,-1,0,172.15,0,220,1.7,5,27.8773,47
2,0,0.012108736453351093,1,0,1,0,2.3,3,0.8479874059816139,34.99102504521296,0,1,0,33,0.216,1,2,3,0,0,4,0,0,3,2.3,0.216,0,82.585,0,220,1.7,2,16.95037,49
3,0,0.02059732234809475,1,0,1,0,2.3,3,0.6942946887248166,33.093933991734296,0,1,0,89,0.216,1,1,3,0,0,5,0,0,0,2.3,-1,0,97.1,1,250,1.5,3,18.079739999999997,52
3,0,0.02241147467503362,1,0,1,0,2.3,3,1.4892565470110184,39.071374480210046,0,1,0,17,0.216,1,1,3,0,0,4,0,0,3,2.3,-1,0,44.62,3,250,0.7,2,11.288827999999999,61
2,1,0.027843519420854796,1,0,1,0,2.3,3,0.9429898680605215,36.19583267581411,0,1,0,56,0.216,1,0,3,0,0,4,0,0,3,2.3,-1,0,71.83,1,250,1.5,2,15.638259999999999,64
4,0,0.00909587047480444,1,0,1,0,1.5,3,0.6742494775998545,31.45441438022012,1,0,0,7,0.216,1,1,3,0,0,6,0,0,2,1.5,0.216,0,109.94,3,250,0.7,3,20.953566,60
2,0,0.011184431271669836,1,0,1,0,2.3,3,0.8063044500456263,34.15429459647058,0,1,0,11,0.216,1,2,3,0,0,5,1,0,3,2.3,-1,0,89.41,0,220,1.7,3,17.78302,58
