LABEL,house,bungalow,flat,maisonette,house_plus,bungalow_plus,flat_plus,maisonette_plus
A,0.122,0.122,0.0801,0.0801,6.875,6.875,5.58,5.58
B,0.122,0.122,0.0801,0.0801,6.875,6.875,5.58,5.58
C,0.122,0.122,0.0801,0.0801,6.875,6.875,5.58,5.58
D,0.1294,0.1294,0.0341,0.0341,5.515,5.515,8.562,8.562
E,0.1239,0.1239,0.0717,0.0717,7.332,7.332,6.56,6.56
F,0.1252,0.1252,0.1199,0.1199,5.52,5.52,1.975,1.975
G,0.1356,0.1356,0.051,0.051,5.242,5.242,4.554,4.554
H,0.0948,0.0948,0.0813,0.0813,6.534,6.534,3.744,3.744
I,0.1382,0.1382,0.1148,0.1148,-0.027,-0.027,0.392,0.392
J,0.1435,0.1435,0.1148,0.1148,-0.403,-0.403,0.392,0.392
K,0.1435,0.1435,0.1148,0.1148,-0.403,-0.403,0.392,0.392
L,0.1435,0.1435,0.1148,0.1148,-0.403,-0.403,0.392,0.392
